Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Ignas Brazdeikis,0.16339869281045752,0.08333333333333333,0.11564625850340136,0.08000000000000002,0.03571428571428572,0.431,0.31,0.656,0.27764705882352947
Mikal Bridges,0.46405228758169936,0.21296296296296294,0.28571428571428575,0.48,0.14285714285714288,0.534,0.369,0.834,0.7952941176470587
Miles Bridges,0.6601307189542484,0.3518518518518518,0.4761904761904762,0.36000000000000004,0.28571428571428575,0.491,0.331,0.802,0.8117647058823529
Oshae Brissett,0.2973856209150327,0.10185185185185186,0.36054421768707484,0.27999999999999997,0.14285714285714288,0.411,0.35,0.695,0.5247058823529411
Malcolm Brogdon,0.6241830065359478,0.5462962962962963,0.3469387755102041,0.32000000000000006,0.14285714285714288,0.448,0.312,0.856,0.7647058823529411
Armoni Brooks,0.17320261437908496,0.10185185185185186,0.1292517006802721,0.2,0.07142857142857144,0.339,0.297,0.857,0.34352941176470586
Armoni Brooks,0.20261437908496735,0.1111111111111111,0.1360544217687075,0.2,0.07142857142857144,0.347,0.3,0.842,0.371764705882353
Armoni Brooks,0.08496732026143791,0.09259259259259259,0.11564625850340136,0.2,0.07142857142857144,0.289,0.278,1.0,0.25411764705882356
Dillon Brooks,0.6013071895424836,0.25925925925925924,0.217687074829932,0.44000000000000006,0.10714285714285714,0.432,0.309,0.849,0.628235294117647
Bruce Brown,0.29411764705882354,0.19444444444444445,0.326530612244898,0.44000000000000006,0.25,0.506,0.404,0.758,0.5552941176470588
Charlie Brown Jr.,0.0457516339869281,0.027777777777777776,0.10204081632653061,0.2,0.07142857142857144,0.256,0.083,0.9,0.16470588235294117
Charlie Brown Jr.,0.02287581699346405,0.027777777777777776,0.020408163265306124,0.27999999999999997,0.10714285714285714,0.2,0.0,0.0,0.09411764705882353
Charlie Brown Jr.,0.04901960784313726,0.027777777777777776,0.108843537414966,0.16000000000000003,0.07142857142857144,0.265,0.111,0.9,0.17647058823529413
Chaundee Brown Jr.,0.20261437908496735,0.07407407407407407,0.217687074829932,0.16000000000000003,0.0,0.313,0.333,0.833,0.4658823529411765
Chaundee Brown Jr.,0.032679738562091505,0.0,0.06802721088435375,0.0,0.0,0.143,0.0,0.0,0.2235294117647059
Chaundee Brown Jr.,0.31699346405228757,0.12037037037037036,0.3197278911564626,0.27999999999999997,0.0,0.36,0.4,0.833,0.628235294117647
Greg Brown III,0.15359477124183007,0.06481481481481481,0.1904761904761905,0.2,0.17857142857142858,0.426,0.311,0.677,0.28941176470588237
Jaylen Brown,0.7712418300653595,0.32407407407407407,0.41496598639455784,0.44000000000000006,0.10714285714285714,0.473,0.358,0.758,0.7670588235294118
Moses Brown,0.14052287581699346,0.0,0.23129251700680273,0.08000000000000002,0.14285714285714288,0.593,0.0,0.597,0.1788235294117647
Moses Brown,0.10130718954248367,0.0,0.1564625850340136,0.04000000000000001,0.10714285714285714,0.54,0.0,0.628,0.12941176470588237
Moses Brown,0.20915032679738566,0.0,0.36054421768707484,0.12,0.17857142857142858,0.638,0.0,0.552,0.27294117647058824
Sterling Brown,0.10784313725490197,0.06481481481481481,0.20408163265306123,0.12,0.03571428571428572,0.381,0.304,0.933,0.27764705882352947
Troy Brown Jr.,0.14052287581699346,0.09259259259259259,0.2108843537414966,0.2,0.03571428571428572,0.419,0.353,0.769,0.3529411764705882
Jalen Brunson,0.5326797385620916,0.4444444444444444,0.2653061224489796,0.32000000000000006,0.0,0.502,0.373,0.84,0.7270588235294116
